geo_description,type,year,estimate,se,moe,cv,subtype
Catawba,county,2008,1.5485318241835886,0.1156231206330077,0.19020003344129766,7.46662863670665,Catawba
Chatham,county,2008,2.001046586512471,0.09196208866259852,0.15127763584997456,4.595699534555807,Chatham
Cherokee,county,2008,1.7375269641778133,0.13533065109434242,0.2226189210501933,7.7886935791169165,Cherokee
Cleveland,county,2008,1.637512355701936,0.11218188916515491,0.18453920767667983,6.850750699653013,Cleveland
Cumberland,county,2008,1.659118376827772,0.0846373358193365,0.13922841742280853,5.101344003021819,Cumberland
Davidson,county,2008,1.50674118427402,0.16224054187424325,0.2668856913831302,10.767645005496695,Davidson
Davie,county,2008,1.5122524693181398,0.12015469377381534,0.19765447125792623,7.945412304599637,Davie
Duplin,county,2008,1.6566790707192107,0.11167403199395819,0.1837037826300612,6.740836772053707,Duplin
Durham,county,2008,1.7941343216599388,0.09276109969318681,0.15259200899529232,5.170242750128315,Durham
Edgecombe,county,2008,1.987920744333007,0.15533104623609648,0.2555195710583787,7.813744420088217,Edgecombe
Forsyth,county,2008,1.8172367849061866,0.10842024815946998,0.17835130822232811,5.96621469805142,Forsyth
Franklin,county,2008,1.3790549110652701,0.08718605464469496,0.14342105989052323,6.322159759203997,Franklin
Gaston,county,2008,1.6273458834025591,0.11589600237427472,0.19064892390568192,7.121780535798076,Gaston
Granville,county,2008,1.6542001315262918,0.1359130236352276,0.22357692387994937,8.216238231695932,Granville
Greene,county,2008,1.7034412704742017,0.132543008543263,0.21803324905366764,7.780896872738434,Greene
Guilford,county,2008,1.8780697272456792,0.08762739939753539,0.14414707200894572,4.665822473271379,Guilford
Halifax,county,2008,1.5313582045838001,0.13822370351081842,0.22737799227529631,9.026216276314367,Halifax
Harnett,county,2008,1.4682009181414284,0.07154776558042847,0.11769607437980484,4.873159027239924,Harnett
Henderson,county,2008,1.683251294290655,0.13290481535226534,0.21862842125447648,7.895720371822036,Henderson
Hoke,county,2008,2.0495262799092706,0.13110568323528798,0.21566884892204874,6.396877391642514,Hoke
Mecklenburg,county,2008,1.8191370025122968,0.056218752115408006,0.09247984722984617,3.090407816330919,Mecklenburg
Pitt,county,2008,2.0270793413584745,0.16660027250915357,0.2740574482775576,8.21873466469764,Pitt
Robeson,county,2008,1.7177221648721457,0.1482192697599943,0.24382069875519063,8.628826756219137,Robeson
Rowan,county,2008,1.5426165393908362,0.12391310412715233,0.20383705628916557,8.032657563498208,Rowan
Union,county,2008,1.6258439668460323,0.12268696939511997,0.20182006465497235,7.546048200007771,Union
Wake,county,2008,1.7101211592949037,0.0732005102058999,0.12041483928870535,4.280428308137012,Wake
Wayne,county,2008,1.9214288101660608,0.14706104056266525,0.24191541172558434,7.653733502099169,Wayne
Alamance,county,2009,1.5832608009207056,0.09574514042049428,0.1575007559917131,6.047338528486027,Alamance
Alexander,county,2009,1.6568828303187686,0.09223018360589852,0.15171865203170307,5.566487980816018,Alexander
Alleghany,county,2009,1.5586639089962067,0.10708680855950073,0.1761578000803787,6.8704233120060865,Alleghany
Anson,county,2009,1.3497936863355118,0.12326433383685784,0.20276982916163114,9.13208700594104,Anson
Ashe,county,2009,1.9458510035723189,0.15325050878529428,0.2520970869518091,7.875757625015847,Ashe
Beaufort,county,2009,1.727320220336167,0.16311326361626954,0.2683213186487634,9.443139824098441,Beaufort
Bladen,county,2009,2.0652132668687315,0.20729784170025523,0.34100494959691985,10.037599749422462,Bladen
Brunswick,county,2009,1.9574264925204714,0.12080067631252742,0.1987171125341076,6.171402950461704,Brunswick
Buncombe,county,2009,1.7061158186857457,0.09550392638785493,0.15710395890802137,5.597739927259069,Buncombe
Cabarrus,county,2009,1.5421679384634108,0.13332783840273998,0.2193242941725073,8.645481148803126,Cabarrus
Camden,county,2009,1.511128009811776,0.08410769002285054,0.13835715008758914,5.565887831920134,Camden
Carteret,county,2009,1.7070969368204,0.15128476215077474,0.24886343373802444,8.86210729383384,Carteret
Catawba,county,2009,1.4613304750137355,0.12482822321099975,0.20534242718209458,8.542094026323953,Catawba
Chatham,county,2009,2.1225422225298063,0.12879193639531455,0.21186273537029243,6.067815048777243,Chatham
Cherokee,county,2009,1.6489342051087994,0.11110942753034464,0.18277500828741694,6.738257183706942,Cherokee
