geography,level,year,palma,se
3900,puma,2007,1.7537150420440435,0.11852897292269061
4000,puma,2007,2.035144116545345,0.12401730264686847
4100,puma,2007,2.0306265030964346,0.22270924576485476
4200,puma,2007,1.4840607811369402,0.1086311136791353
4300,puma,2007,1.5895607692144553,0.11350766580365972
4400,puma,2007,1.8181064703281566,0.11751407943947635
4500,puma,2007,1.7869557171406352,0.1165195546465739
4600,puma,2007,2.2889662056690674,0.1912339935643178
4700,puma,2007,1.8701420956364032,0.18212732278983712
4800,puma,2007,1.8842361733143531,0.15238958543277967
905,puma,2007,1.5884880014554317,0.08230596382788252
100,puma,2008,1.7375269641778133,0.13533065109434242
201,puma,2008,1.64829420979575,0.19663897396015648
202,puma,2008,2.1651943021475883,0.20087888103609053
300,puma,2008,1.683251294290655,0.1329048153522653
